id,type,group,name
183,7,controller,yaw
184,7,controller,rollRate
185,7,controller,pitchRate
186,7,controller,yawRate
187,5,controller,ctr_yaw
188,7,ext_pos,X
189,7,ext_pos,Y
190,7,ext_pos,Z
191,7,locSrv,x
192,7,locSrv,y
193,7,locSrv,z
194,7,locSrv,qx
195,7,locSrv,qy
196,7,locSrv,qz
197,7,locSrv,qw
198,2,locSrvZ,tick
199,2,crtp,rxRate
200,2,crtp,txRate
201,1,kalman,inFlight
202,7,kalman,stateX
203,7,kalman,stateY
204,7,kalman,stateZ
205,7,kalman,statePX
206,7,kalman,statePY
207,7,kalman,statePZ
208,7,kalman,stateD0
209,7,kalman,stateD1
210,7,kalman,stateD2
211,7,kalman,varX
212,7,kalman,varY
213,7,kalman,varZ
214,7,kalman,varPX
215,7,kalman,varPY
216,7,kalman,varPZ
217,7,kalman,varD0
218,7,kalman,varD1
219,7,kalman,varD2
220,7,kalman,q0
221,7,kalman,q1
222,7,kalman,q2
223,7,kalman,q3
224,2,lighthouse,bsCalUd
225,7,kalman,rtPred
226,7,kalman,rtFinal
227,6,outlierf,lhWin
228,6,outlierf,bucket0
229,6,outlierf,bucket1
230,6,outlierf,bucket2
231,6,outlierf,bucket3
232,6,outlierf,bucket4
233,7,outlierf,accLev
234,7,outlierf,errD
235,7,estimator,rtApnd
236,7,estimator,rtRej
237,7,extrx,thrust
238,7,extrx,roll
239,7,extrx,pitch
240,7,extrx,rollRate
241,7,extrx,pitchRate
242,7,extrx,yawRate
243,7,extrx,zVel
244,1,extrx,AltHold
245,1,extrx,Arm
246,2,extrx_raw,ch0
247,2,extrx_raw,ch1
248,2,extrx_raw,ch2
249,2,extrx_raw,ch3
250,2,extrx_raw,ch4
251,2,extrx_raw,ch5
252,2,extrx_raw,ch6
253,2,extrx_raw,ch7
254,7,health,motorVarXM1
255,7,health,motorVarYM1
256,7,health,motorVarXM2
257,7,health,motorVarYM2
258,7,health,motorVarXM3
259,7,health,motorVarYM3
260,7,health,motorVarXM4
261,7,health,motorVarYM4
262,1,health,motorPass
263,7,health,batterySag
264,1,health,batteryPass
265,2,health,motorTestCount
266,3,memTst,errCntW
267,7,posCtrlIndi,posRef_x
268,7,posCtrlIndi,posRef_y
269,7,posCtrlIndi,posRef_z
270,7,posCtrlIndi,velS_x
271,7,posCtrlIndi,velS_y
272,7,posCtrlIndi,velS_z
273,7,posCtrlIndi,velRef_x
274,7,posCtrlIndi,velRef_y
275,7,posCtrlIndi,velRef_z
276,7,posCtrlIndi,angS_roll
277,7,posCtrlIndi,angS_pitch
278,7,posCtrlIndi,angS_yaw
279,7,posCtrlIndi,angF_roll
280,7,posCtrlIndi,angF_pitch
281,7,posCtrlIndi,angF_yaw
282,7,posCtrlIndi,accRef_x
283,7,posCtrlIndi,accRef_y
284,7,posCtrlIndi,accRef_z
285,7,posCtrlIndi,accS_x
286,7,posCtrlIndi,accS_y
287,7,posCtrlIndi,accS_z
288,7,posCtrlIndi,accF_x
289,7,posCtrlIndi,accF_y
290,7,posCtrlIndi,accF_z
291,7,posCtrlIndi,accFT_x
292,7,posCtrlIndi,accFT_y
293,7,posCtrlIndi,accFT_z
294,7,posCtrlIndi,accErr_x
295,7,posCtrlIndi,accErr_y
296,7,posCtrlIndi,accErr_z
297,7,posCtrlIndi,phi_tilde
298,7,posCtrlIndi,theta_tilde
299,7,posCtrlIndi,T_tilde
300,7,posCtrlIndi,T_inner
301,7,posCtrlIndi,T_inner_f
302,7,posCtrlIndi,T_incremented
303,7,posCtrlIndi,cmd_phi
304,7,posCtrlIndi,cmd_theta
305,7,posCtl,targetVX
306,7,posCtl,targetVY
307,7,posCtl,targetVZ
308,7,posCtl,targetX
309,7,posCtl,targetY
310,7,posCtl,targetZ
311,7,posCtl,bodyVX
312,7,posCtl,bodyVY
313,7,posCtl,bodyX
314,7,posCtl,bodyY
315,7,posCtl,Xp
316,7,posCtl,Xi
317,7,posCtl,Xd
318,7,posCtl,Xff
319,7,posCtl,Yp
320,7,posCtl,Yi
321,7,posCtl,Yd
322,7,posCtl,Yff
323,7,posCtl,Zp
324,7,posCtl,Zi
325,7,posCtl,Zd
326,7,posCtl,Zff
327,7,posCtl,VXp
328,7,posCtl,VXi
329,7,posCtl,VXd
330,7,posCtl,VXff
331,7,posCtl,VYp
332,7,posCtl,VYi
333,7,posCtl,VYd
334,7,posCtl,VYff
335,7,posCtl,VZp
336,7,posCtl,VZi
337,7,posCtl,VZd
338,7,posCtl,VZff
339,7,posEstAlt,estimatedZ
340,7,posEstAlt,estVZ
341,7,posEstAlt,velocityZ
342,2,range,front
343,2,range,back
344,2,range,up
345,2,range,left
346,2,range,right
347,2,range,zrange
348,7,sensfusion6,qw
349,7,sensfusion6,qx
350,7,sensfusion6,qy
351,7,sensfusion6,qz
352,7,sensfusion6,gravityX
353,7,sensfusion6,gravityY
354,7,sensfusion6,gravityZ
355,7,sensfusion6,accZbase
356,1,sensfusion6,isInit
357,1,sensfusion6,isCalibrated
358,7,acc,x
359,7,acc,y
360,7,acc,z
361,7,baro,asl
362,7,baro,temp
363,7,baro,pressure
364,7,ctrltarget,x
365,7,ctrltarget,y
366,7,ctrltarget,z
367,7,ctrltarget,vx
368,7,ctrltarget,vy
369,7,ctrltarget,vz
370,7,ctrltarget,ax
371,7,ctrltarget,ay
372,7,ctrltarget,az
373,7,ctrltarget,roll
374,7,ctrltarget,pitch
375,7,ctrltarget,yaw
376,5,ctrltargetZ,x
377,5,ctrltargetZ,y
378,5,ctrltargetZ,z
379,5,ctrltargetZ,vx
380,5,ctrltargetZ,vy
381,5,ctrltargetZ,vz
382,5,ctrltargetZ,ax
383,5,ctrltargetZ,ay
384,5,ctrltargetZ,az
385,7,mag,x
386,7,mag,y
387,7,mag,z
388,7,stabilizer,roll
389,7,stabilizer,pitch
390,7,stabilizer,yaw
391,7,stabilizer,thrust
392,7,stabilizer,rtStab
393,3,stabilizer,intToOut
394,7,stateEstimate,x
395,7,stateEstimate,y
396,7,stateEstimate,z
397,7,stateEstimate,vx
398,7,stateEstimate,vy
399,7,stateEstimate,vz
400,7,stateEstimate,ax
401,7,stateEstimate,ay
402,7,stateEstimate,az
403,7,stateEstimate,roll
404,7,stateEstimate,pitch
405,7,stateEstimate,yaw
406,7,stateEstimate,qx
407,7,stateEstimate,qy
408,7,stateEstimate,qz
409,7,stateEstimate,qw
410,5,stateEstimateZ,x
411,5,stateEstimateZ,y
412,5,stateEstimateZ,z
413,5,stateEstimateZ,vx
414,5,stateEstimateZ,vy
415,5,stateEstimateZ,vz
416,5,stateEstimateZ,ax
417,5,stateEstimateZ,ay
418,5,stateEstimateZ,az
419,3,stateEstimateZ,quat
420,5,stateEstimateZ,rateRoll
421,5,stateEstimateZ,ratePitch
422,5,stateEstimateZ,rateYaw
423,1,sys,canfly
424,1,sys,isFlying
425,1,sys,isTumbled
426,4,sys,armed
427,7,tdoaEngine,stRx
428,7,tdoaEngine,stEst
429,7,tdoaEngine,stTime
430,7,tdoaEngine,stFound
431,7,tdoaEngine,stCc
432,7,tdoaEngine,stHit
433,7,tdoaEngine,stMiss
434,7,tdoaEngine,cc
435,2,tdoaEngine,tof
436,7,tdoaEngine,tdoa
437,1,DTR_P2P,rx_state
438,1,DTR_P2P,tx_state
439,7,kalman_pred,predNX
440,7,kalman_pred,predNY
441,7,kalman_pred,measNX
442,7,kalman_pred,measNY
443,1,lighthouse,validAngles
444,7,lighthouse,rawAngle0x
445,7,lighthouse,rawAngle0y
446,7,lighthouse,rawAngle1x
447,7,lighthouse,rawAngle1y
448,7,lighthouse,angle0x
449,7,lighthouse,angle0y
450,7,lighthouse,angle1x
451,7,lighthouse,angle1y
452,7,lighthouse,angle0x_1
453,7,lighthouse,angle0y_1
454,7,lighthouse,angle1x_1
455,7,lighthouse,angle1y_1
456,7,lighthouse,angle0x_2
457,7,lighthouse,angle0y_2
458,7,lighthouse,angle1x_2
459,7,lighthouse,angle1y_2
460,7,lighthouse,angle0x_3
461,7,lighthouse,angle0y_3
462,7,lighthouse,angle1x_3
463,7,lighthouse,angle1y_3
464,7,lighthouse,rawAngle0xlh2
465,7,lighthouse,rawAngle0ylh2
466,7,lighthouse,rawAngle1xlh2
467,7,lighthouse,rawAngle1ylh2
468,7,lighthouse,angle0x_0lh2
469,7,lighthouse,angle0y_0lh2
470,7,lighthouse,angle1x_0lh2
471,7,lighthouse,angle1y_0lh2
472,2,lighthouse,width0
473,2,lighthouse,width1
474,2,lighthouse,width2
475,2,lighthouse,width3
476,1,lighthouse,comSync
477,2,lighthouse,bsAvailable
478,2,lighthouse,bsReceive
479,2,lighthouse,bsActive
480,2,lighthouse,bsCalUd
481,2,lighthouse,bsCalCon
482,1,lighthouse,status
483,7,lighthouse,posRt
484,7,lighthouse,estBs0Rt
485,7,lighthouse,estBs1Rt
486,7,lighthouse,x
487,7,lighthouse,y
488,7,lighthouse,z
489,7,lighthouse,delta
490,2,lighthouse,bsGeoVal
491,2,lighthouse,bsCalVal
492,7,lighthouse,disProb
